"id","disallowed_expenses_category_id"
"a241","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a2411","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a6102","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a61021","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_1"
"a610211","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_1"
"a610212","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_1"
"a610213","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_1"
"a61022","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a61031","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_1"
"a611201","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a612901","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a61291","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a613311","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1216_1"
"a6144","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a616506","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a61651","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_2"
"a61654","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1207"
"a616541","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1207"
"a6234","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1208"
"a623401","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1208_1"
"a62361","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1208"
"a6402","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a645","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1203"
